Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Name-additional,PrimaryPos,1B,Pos_2B,Pos_3B,C,DH,OF,SP,SS
25,Francisco Alvarez,21,NYM,NL,123,423,382,51,80,12,0,25,63,2,0,34,110,0.209,0.284,0.437,0.721,95.0,167,14,6,0,1,0,"C,DH",alvarfr01,C,0,0,0,1,1,0,0,0
26,Yordan Alvarez*,26,HOU,AL,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.99,170.0,239,7,13,0,4,5,"DH,OF",alvaryo01,DH,0,0,0,0,1,1,0,0
27,Jacob Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,22.0,2,0,0,0,0,0,"SS,2B",amayaja01,/,0,1,0,0,0,0,0,1
28,Miguel Amaya,24,CHC,NL,53,156,131,17,28,4,0,5,18,0,0,12,40,0.214,0.329,0.359,0.688,86.0,47,2,11,1,1,0,"C,DH",amayami01,C,0,0,0,1,1,0,0,0
29,Brian Anderson,30,MIL,NL,96,361,318,38,72,12,3,9,40,1,3,36,108,0.226,0.31,0.368,0.678,86.0,117,10,4,0,3,0,"3B,OF,DH",anderbr06,3B,0,0,1,0,1,1,0,0
30,Tim Anderson,30,CHW,AL,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,60.0,146,15,3,0,2,0,"SS,2B",anderti01,SS,0,1,0,0,0,0,0,1
31,Elvis Andrus,34,CHW,AL,112,406,374,39,94,20,1,6,44,12,4,25,71,0.251,0.304,0.358,0.662,81.0,134,11,4,1,2,1,"2B,SS,3B,DH",andruel01,2B,0,1,1,0,1,0,0,1
32,Miguel Andujar,28,PIT,NL,30,90,84,9,21,7,0,4,18,2,0,6,13,0.25,0.3,0.476,0.776,108.0,40,1,0,0,0,0,"OF,DH",andujmi01,OF,0,0,0,0,1,1,0,0
33,Jonathan Aranda*,25,TBR,AL,34,103,87,13,20,4,1,2,13,0,0,13,31,0.23,0.34,0.368,0.708,98.0,32,1,2,0,1,1,"DH,1B,2B,3B",arandjo01,DH,1,1,1,0,1,0,0,0
34,Jonathan Araúz#,24,NYM,NL,27,66,59,3,8,0,0,3,9,0,0,5,18,0.136,0.203,0.288,0.491,34.0,17,1,0,2,0,0,"3B,2B,SS",arauzjo01,3B,0,1,1,0,0,0,0,1
35,Orlando Arcia,28,ATL,NL,139,533,488,66,129,25,0,17,65,1,0,39,102,0.264,0.321,0.42,0.741,98.0,205,14,3,0,3,0,SS,arciaor01,SS,0,0,0,0,0,0,0,1
36,Nolan Arenado,32,STL,NL,144,612,560,71,149,26,2,26,93,3,3,41,101,0.266,0.315,0.459,0.774,109.0,257,21,3,0,8,5,"3B,DH",arenano01,3B,0,0,1,0,1,0,0,0
37,Gabriel Arias,23,CLE,AL,122,345,315,36,66,15,0,10,26,3,4,28,113,0.21,0.275,0.352,0.628,75.0,111,9,1,0,1,0,"SS,1B,OF,3B,DH,2B",ariasga01,SS,1,1,1,0,1,1,0,1
38,Randy Arozarena,28,TBR,AL,151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,120.0,234,10,18,0,5,1,"OF,DH",arozara01,OF,0,0,0,0,1,1,0,0
39,Luis Arraez*,26,MIA,NL,147,617,574,71,203,30,3,10,69,3,2,35,34,0.354,0.393,0.469,0.861,133.0,269,18,4,1,3,10,"2B,1B,DH",arraelu01,2B,1,1,0,0,1,0,0,0
40,Christian Arroyo,28,BOS,AL,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,70.0,72,8,1,1,2,0,"2B,3B,SS",arroych01,2B,0,1,1,0,0,0,0,1
41,José Azocar,27,SDP,NL,55,102,91,16,21,6,0,2,9,8,2,4,24,0.231,0.278,0.363,0.641,78.0,33,2,2,5,0,0,"OF,DH",azocajo01,OF,0,0,0,0,1,1,0,0
42,Akil Baddoo*,24,DET,AL,112,357,312,40,68,13,1,11,34,14,3,42,89,0.218,0.31,0.372,0.682,86.0,116,4,0,2,1,2,"OF,DH",baddoak01,OF,0,0,0,0,1,1,0,0
43,Harrison Bader,29,TOT,MLB,98,344,319,44,74,12,2,7,40,20,3,17,59,0.232,0.274,0.348,0.622,69.0,111,7,3,1,4,0,"OF,DH",baderha01,OF,0,0,0,0,1,1,0,0
44,Harrison Bader,29,NYY,AL,84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75.0,105,6,3,1,4,0,OF,baderha01,OF,0,0,0,0,0,1,0,0
45,Harrison Bader,29,CIN,NL,14,34,31,4,5,1,0,0,3,3,1,3,3,0.161,0.235,0.194,0.429,18.0,6,1,0,0,0,0,"OF,DH",baderha01,OF,0,0,0,0,1,1,0,0
46,Ji Hwan Bae*,23,PIT,NL,111,371,334,54,77,17,2,2,32,24,9,30,92,0.231,0.296,0.311,0.608,67.0,104,4,2,3,2,0,"2B,OF,SS",baeji01,2B,0,1,0,0,0,1,0,1
47,Javier Báez,30,DET,AL,136,547,510,58,113,18,4,9,59,12,0,24,125,0.222,0.267,0.325,0.593,62.0,166,12,9,0,3,0,"SS,DH",baezja01,SS,0,0,0,0,1,0,0,1
48,Patrick Bailey#,24,SFG,NL,97,353,326,29,76,18,1,7,48,1,0,21,100,0.233,0.285,0.359,0.644,77.0,117,8,3,2,1,0,"C,DH",bailepa01,C,0,0,0,1,1,0,0,0
49,Bryan Baker,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,bakerbr01,SP,0,0,0,0,0,0,1,0
50,Luken Baker,26,STL,NL,33,99,86,9,18,3,0,2,10,0,0,13,31,0.209,0.313,0.314,0.627,73.0,27,1,0,0,0,0,"DH,1B",bakerlu01,DH,1,0,0,0,1,0,0,0
51,Rylan Bannon,27,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,"2B,DH",bannory01,/,0,1,0,0,1,0,0,0
52,Scott Barlow,30,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,barlosc01,SP,0,0,0,0,0,0,1,0
53,Scott Barlow,30,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,barlosc01,SP,0,0,0,0,0,0,1,0
54,Austin Barnes,33,LAD,NL,59,200,178,15,32,5,0,2,11,2,1,17,43,0.18,0.256,0.242,0.498,36.0,43,7,2,1,2,0,"C,2B,DH",barneau01,C,0,1,0,1,1,0,0,0
55,Tucker Barnhart*,32,CHC,NL,44,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,48.0,28,4,1,0,1,0,"C,SP",barnhtu01,C,0,0,0,1,0,0,1,0
56,Tres Barrera,28,STL,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,C,barretr01,/,0,0,0,1,0,0,0,0
57,Jose Barrero,25,CIN,NL,46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,67.0,43,1,0,0,1,0,"SS,OF,DH",garcijo02,SS,0,0,0,0,1,1,0,1
58,Joey Bart,26,SFG,NL,30,95,87,9,18,5,0,0,5,0,0,3,23,0.207,0.263,0.264,0.528,47.0,23,0,4,0,1,0,C,bartjo01,C,0,0,0,1,0,0,0,0
59,Osleivis Basabe,22,TBR,AL,31,94,87,15,19,5,0,1,12,0,1,6,25,0.218,0.277,0.31,0.587,64.0,27,2,1,0,0,0,"SS,3B,2B,OF",basabos01,SS,0,1,1,0,0,1,0,1
60,Matthew Batten,28,SDP,NL,43,139,120,19,31,6,0,2,11,2,2,17,30,0.258,0.355,0.358,0.713,101.0,43,0,1,1,0,0,"2B,3B,1B,DH,SS",battema01,2B,1,1,1,0,1,0,0,1
61,Brett Baty*,23,NYM,NL,108,389,353,41,75,12,0,9,34,2,0,29,109,0.212,0.275,0.323,0.598,65.0,114,8,2,1,1,0,"3B,DH,OF",batybr01,3B,0,0,1,0,1,1,0,0
62,Jake Bauers*,27,NYY,AL,84,272,242,28,49,15,0,12,30,3,2,27,95,0.202,0.279,0.413,0.693,87.0,100,3,0,0,3,0,"OF,1B,DH",bauerja01,OF,1,0,0,0,1,1,0,0
63,Mike Baumann,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,baumami01,SP,0,0,0,0,0,0,1,0
64,Matt Beaty*,30,TOT,MLB,30,72,61,8,14,4,0,0,4,0,0,6,14,0.23,0.347,0.295,0.642,80.0,18,1,5,0,0,0,"1B,DH,OF,SP",beatyma01,1B,1,0,0,0,1,1,1,0
65,Matt Beaty*,30,SFG,NL,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,12.0,1,0,0,0,0,0,"DH,SP",beatyma01,/,0,0,0,0,1,0,1,0
66,Matt Beaty*,30,KCR,AL,26,67,56,7,13,4,0,0,3,0,0,6,12,0.232,0.358,0.304,0.662,86.0,17,1,5,0,0,0,"1B,DH,OF",beatyma01,1B,1,0,0,0,1,1,0,0
67,Josh Bell#,30,TOT,MLB,150,617,547,52,135,28,0,22,74,0,1,63,134,0.247,0.325,0.419,0.744,104.0,229,13,2,0,3,2,"DH,1B",belljo02,DH,1,0,0,0,1,0,0,0
68,Josh Bell#,30,CLE,AL,97,393,347,26,81,19,0,11,48,0,1,43,81,0.233,0.318,0.383,0.701,96.0,133,7,1,0,2,1,"DH,1B",belljo02,DH,1,0,0,0,1,0,0,0
69,Josh Bell#,30,MIA,NL,53,224,200,26,54,9,0,11,26,0,0,20,53,0.27,0.338,0.48,0.818,119.0,96,6,1,0,1,1,"1B,DH",belljo02,1B,1,0,0,0,1,0,0,0
70,Cody Bellinger*,27,CHC,NL,130,556,499,95,153,29,1,26,97,20,6,40,87,0.307,0.356,0.525,0.881,133.0,262,7,5,0,12,3,"OF,1B,DH",bellico01,OF,1,0,0,0,1,1,0,0
71,Brandon Belt*,35,TOR,AL,103,404,339,53,86,23,0,19,43,0,0,61,141,0.254,0.369,0.49,0.858,136.0,166,5,2,0,2,1,"DH,1B",beltbr01,DH,1,0,0,0,1,0,0,0
72,Anthony Bemboom*,33,BAL,AL,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,44.0,2,0,0,0,0,0,C,bemboan01,/,0,0,0,1,0,0,0,0
73,Andrew Benintendi*,28,CHW,AL,151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,87.0,200,12,3,1,3,5,"OF,DH",beninan01,OF,0,0,0,0,1,1,0,0
74,Will Benson*,25,CIN,NL,108,329,287,51,79,15,8,11,31,19,3,40,103,0.275,0.365,0.498,0.863,130.0,143,3,1,0,1,0,"OF,DH",bensowi01,OF,0,0,0,0,1,1,0,0
75,José Berríos,29,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,berrijo01,SP,0,0,0,0,0,0,1,0
76,Jon Berti,33,MIA,NL,133,424,388,53,114,16,3,7,33,16,6,29,77,0.294,0.344,0.405,0.748,103.0,157,10,2,2,3,2,"SS,3B,OF,2B,DH",bertijo01,SS,0,1,1,0,1,1,0,1
77,Christian Bethancourt,31,TBR,AL,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,74.0,120,6,0,1,3,0,"C,DH,SP",bethach01,C,0,0,0,1,1,0,1,0
78,Mookie Betts,30,LAD,NL,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163.0,338,5,8,0,5,3,"OF,2B,SS",bettsmo01,OF,0,1,0,0,0,1,0,1
79,Bo Bichette,25,TOR,AL,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,123.0,271,14,2,0,1,0,"SS,DH",bichebo01,SS,0,0,0,0,1,0,0,1
80,Cavan Biggio*,28,TOR,AL,111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,98.0,107,0,7,0,2,0,"2B,OF,1B,3B,DH,SS",biggica01,2B,1,1,1,0,1,1,0,1
81,Charlie Blackmon*,36,COL,NL,96,413,359,57,100,24,5,8,40,4,1,39,55,0.279,0.363,0.44,0.803,107.0,158,6,11,0,4,0,"DH,OF",blackch02,DH,0,0,0,0,1,1,0,0
82,Dairon Blanco,30,KCR,AL,69,138,124,19,32,7,4,3,18,24,5,10,33,0.258,0.324,0.452,0.775,111.0,56,2,2,2,0,0,"OF,DH",blancda02,OF,0,0,0,0,1,1,0,0
83,Travis Blankenhorn*,26,WSN,NL,10,37,31,2,5,0,0,1,1,0,0,6,6,0.161,0.297,0.258,0.555,57.0,8,0,0,0,0,0,OF,blanktr01,/,0,0,0,0,0,1,0,0
84,JJ Bleday*,25,OAK,AL,82,303,256,35,50,11,0,10,27,5,1,42,72,0.195,0.31,0.355,0.666,91.0,91,3,2,0,3,0,"OF,DH",bledajj01,OF,0,0,0,0,1,1,0,0
85,Xander Bogaerts,30,SDP,NL,155,665,596,83,170,31,2,19,58,19,2,56,110,0.285,0.35,0.44,0.79,120.0,262,21,7,0,6,0,"SS,DH",bogaexa01,SS,0,0,0,0,1,0,0,1
86,Alec Bohm,26,PHI,NL,145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,108.0,244,23,5,0,6,1,"3B,1B,DH",bohmal01,3B,1,0,1,0,1,0,0,0
87,Sean Bouchard,27,COL,NL,21,43,38,11,12,2,0,4,7,0,1,4,14,0.316,0.372,0.684,1.056,165.0,26,0,0,0,1,0,"OF,DH",bouchse01,OF,0,0,0,0,1,1,0,0
88,Jackie Bradley Jr.*,33,KCR,AL,43,113,105,10,14,5,0,1,6,0,0,5,29,0.133,0.188,0.21,0.397,10.0,22,3,2,1,0,0,OF,bradlja02,OF,0,0,0,0,0,1,0,0
89,Michael Brantley*,36,HOU,AL,15,57,54,7,15,2,0,2,7,0,0,2,2,0.278,0.298,0.426,0.724,98.0,23,2,0,0,1,0,"OF,DH",brantmi02,OF,0,0,0,0,1,1,0,0
90,Matt Brash,25,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,brashma01,SP,0,0,0,0,0,0,1,0
91,Ryan Brasier,35,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,brasiry01,SP,0,0,0,0,0,0,1,0
92,Ryan Brasier,35,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,brasiry01,SP,0,0,0,0,0,0,1,0
93,Alex Bregman,29,HOU,AL,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122.0,274,22,8,0,2,1,"3B,DH",bregmal01,3B,0,0,1,0,1,0,0,0
94,Will Brennan*,25,CLE,AL,138,455,432,41,115,24,0,5,41,13,5,16,57,0.266,0.299,0.356,0.655,83.0,154,4,5,0,2,2,"OF,DH",brennwi02,OF,0,0,0,0,1,1,0,0
95,Jonah Bride,27,OAK,AL,40,106,88,9,15,3,0,0,7,0,1,11,22,0.17,0.286,0.205,0.49,45.0,18,3,4,1,2,0,"3B,DH,1B",bridejo01,3B,1,0,1,0,1,0,0,0
96,Mike Brosseau,29,MIL,NL,29,78,73,4,15,2,0,4,8,0,0,4,20,0.205,0.256,0.397,0.654,76.0,29,2,1,0,0,0,"3B,1B,SP,DH,2B",brossmi01,3B,1,1,1,0,1,0,1,0
97,Seth Brown*,30,OAK,AL,112,378,343,33,76,19,1,14,52,3,1,30,101,0.222,0.286,0.405,0.692,96.0,139,6,2,1,2,1,"OF,DH,1B",brownse01,OF,1,0,0,0,1,1,0,0
98,Vidal Bruján#,25,TBR,AL,37,84,76,14,13,2,0,0,6,3,2,5,21,0.171,0.241,0.197,0.438,25.0,15,1,2,1,0,0,"2B,SS,OF,3B",brujavi01,2B,0,1,1,0,0,1,0,1
99,Kris Bryant,31,COL,NL,80,335,300,36,70,10,0,10,31,0,0,29,68,0.233,0.313,0.367,0.68,76.0,110,6,6,0,0,0,"OF,DH,1B",bryankr01,OF,1,0,0,0,1,1,0,0
100,J.B. Bukauskas,26,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,bukaujb01,/,0,0,0,0,0,0,1,0
101,J.B. Bukauskas,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,bukaujb01,/,0,0,0,0,0,0,1,0
102,Aaron Bummer*,29,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,bummeaa01,SP,0,0,0,0,0,0,1,0
103,Peyton Burdick,26,MIA,NL,14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,63.0,11,0,1,0,0,0,OF,burdipe01,OF,0,0,0,0,0,1,0,0
104,Jake Burger,27,TOT,MLB,141,540,492,71,123,28,1,34,80,1,1,32,149,0.25,0.309,0.518,0.828,120.0,255,4,12,0,4,0,"3B,DH,1B,2B",burgeja01,3B,1,1,1,0,1,0,0,0
105,Jake Burger,27,CHW,AL,88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,113.0,155,3,5,0,2,0,"3B,DH,1B,2B",burgeja01,3B,1,1,1,0,1,0,0,0
106,Jake Burger,27,MIA,NL,53,217,198,27,60,13,0,9,28,0,0,10,47,0.303,0.355,0.505,0.86,130.0,100,1,7,0,2,0,"3B,DH",burgeja01,3B,0,0,1,0,1,0,0,0
107,Alec Burleson*,24,STL,NL,107,347,315,34,77,20,1,8,36,3,1,23,45,0.244,0.3,0.39,0.691,87.0,123,13,3,1,2,0,"OF,DH,1B,SP",burleal01,OF,1,0,0,0,1,1,1,0
108,Michael Busch*,25,LAD,NL,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,45.0,21,0,0,0,1,0,"3B,DH,1B,2B,OF",buschmi02,3B,1,1,1,0,1,1,0,0
109,Lawrence Butler*,22,OAK,AL,42,129,123,10,26,4,0,4,10,0,0,4,35,0.211,0.24,0.341,0.582,64.0,42,5,1,0,1,0,OF,butlela01,OF,0,0,0,0,0,1,0,0
110,Byron Buxton,29,MIN,AL,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,98.0,133,3,4,0,4,2,DH,buxtoby01,DH,0,0,0,0,1,0,0,0
111,José Caballero,26,SEA,AL,104,280,231,37,51,9,1,4,26,26,3,28,66,0.221,0.343,0.32,0.663,90.0,74,0,17,0,4,0,"2B,SS,3B,DH,OF",cabaljo01,2B,0,1,1,0,1,1,0,1
112,Trey Cabbage*,26,LAA,AL,22,56,53,5,11,3,0,1,7,1,1,2,26,0.208,0.232,0.321,0.553,49.0,17,1,0,0,1,0,"1B,OF",cabbatr01,/,1,0,0,0,0,1,0,0
113,Génesis Cabrera*,26,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,cabrege01,SP,0,0,0,0,0,0,1,0
114,Génesis Cabrera*,26,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,cabrege01,SP,0,0,0,0,0,0,1,0
115,Miguel Cabrera,40,DET,AL,98,370,334,21,86,20,0,4,34,0,0,31,74,0.257,0.322,0.353,0.675,86.0,118,11,2,0,3,0,"DH,1B",cabremi01,DH,1,0,0,0,1,0,0,0
116,Oswaldo Cabrera#,24,NYY,AL,115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58.0,89,6,2,3,2,1,"OF,3B,2B,SS,DH,1B",cabreos01,OF,1,1,1,0,1,1,0,1
117,Kole Calhoun*,35,CLE,AL,43,174,157,18,34,7,0,6,25,0,1,13,37,0.217,0.282,0.376,0.657,82.0,59,3,2,0,2,0,"1B,DH,OF",calhoko01,1B,1,0,0,0,1,1,0,0
118,Willie Calhoun*,28,NYY,AL,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,94.0,54,2,0,0,1,1,"DH,OF",calhowi01,DH,0,0,0,0,1,1,0,0
119,Alex Call,28,WSN,NL,128,439,375,43,75,14,1,8,38,9,8,53,78,0.2,0.307,0.307,0.614,72.0,115,1,6,3,2,0,OF,callal02,OF,0,0,0,0,0,1,0,0
120,Johan Camargo#,29,SFG,NL,8,20,18,0,4,0,0,0,2,0,0,1,4,0.222,0.3,0.222,0.522,49.0,4,2,1,0,0,0,"SS,3B",camarjo01,/,0,0,1,0,0,0,0,1
121,Junior Caminero,19,TBR,AL,7,36,34,4,8,1,0,1,7,0,0,2,8,0.235,0.278,0.353,0.631,75.0,12,2,0,0,0,0,"3B,DH,SS,2B",caminju01,/,0,1,1,0,1,0,0,1
122,Luis Campusano,24,SDP,NL,49,174,163,27,52,7,0,7,30,0,0,7,21,0.319,0.356,0.491,0.847,134.0,80,8,3,0,1,0,"C,DH",campulu01,C,0,0,0,1,1,0,0,0
123,Alexander Canario,23,CHC,NL,6,17,17,1,5,1,1,1,6,0,0,0,8,0.294,0.294,0.647,0.941,143.0,11,0,0,0,0,0,"DH,OF",canaral01,/,0,0,0,0,1,1,0,0
124,Jeimer Candelario#,29,TOT,NL,140,576,505,77,127,39,3,22,70,8,1,53,127,0.251,0.336,0.471,0.807,119.0,238,11,13,0,4,1,"3B,1B,DH",candeje01,3B,1,0,1,0,1,0,0,0
125,Jeimer Candelario#,29,WSN,NL,99,419,368,57,95,30,2,16,53,6,1,36,88,0.258,0.342,0.481,0.823,125.0,177,10,12,0,2,1,"3B,DH",candeje01,3B,0,0,1,0,1,0,0,0
126,Jeimer Candelario#,29,CHC,NL,41,157,137,20,32,9,1,6,17,2,0,17,39,0.234,0.318,0.445,0.764,103.0,61,1,1,0,2,0,"1B,3B,DH",candeje01,1B,1,0,1,0,1,0,0,0
127,Mark Canha,34,TOT,NL,139,507,435,51,114,25,1,11,62,11,1,49,79,0.262,0.355,0.4,0.755,108.0,174,11,17,0,6,1,"OF,DH,1B,3B",canhama01,OF,1,0,1,0,1,1,0,0
128,Mark Canha,34,NYM,NL,89,303,257,28,63,15,1,6,29,7,0,32,52,0.245,0.343,0.381,0.725,100.0,98,8,9,0,5,0,"OF,DH,1B,3B",canhama01,OF,1,0,1,0,1,1,0,0
129,Mark Canha,34,MIL,NL,50,204,178,23,51,10,0,5,33,4,1,17,27,0.287,0.373,0.427,0.8,120.0,76,3,8,0,1,1,"DH,OF,1B",canhama01,DH,1,0,0,0,1,1,0,0
130,Yennier Cano,29,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,canoye01,SP,0,0,0,0,0,0,1,0
131,Dominic Canzone*,25,TOT,MLB,59,182,173,23,38,13,0,6,21,1,0,8,32,0.22,0.258,0.399,0.657,81.0,69,5,1,0,0,0,"OF,DH",canzodo01,OF,0,0,0,0,1,1,0,0
132,Dominic Canzone*,25,ARI,NL,15,41,38,4,9,2,0,1,8,0,0,2,8,0.237,0.293,0.368,0.661,80.0,14,1,1,0,0,0,"DH,OF",canzodo01,/,0,0,0,0,1,1,0,0
133,Dominic Canzone*,25,SEA,AL,44,141,135,19,29,11,0,5,13,1,0,6,24,0.215,0.248,0.407,0.656,81.0,55,4,0,0,0,0,"OF,DH",canzodo01,OF,0,0,0,0,1,1,0,0
134,Conner Capel*,26,OAK,AL,32,86,73,6,19,5,0,0,3,5,3,12,25,0.26,0.372,0.329,0.701,104.0,24,1,1,0,0,0,"OF,DH",capelco01,OF,0,0,0,0,1,1,0,0
135,Vinny Capra,26,PIT,NL,9,21,18,3,3,1,0,0,1,0,0,2,5,0.167,0.25,0.222,0.472,31.0,4,0,0,1,0,0,"3B,2B",capravi01,/,0,1,1,0,0,0,0,0
136,Victor Caratini#,29,MIL,NL,62,226,201,23,52,4,0,7,25,1,1,19,45,0.259,0.327,0.383,0.711,95.0,77,8,3,0,3,0,"C,DH,1B",caratvi01,C,1,0,0,1,1,0,0,0
137,Dylan Carlson#,24,STL,NL,76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,79.0,73,4,7,0,3,0,"OF,DH",carlsdy01,OF,0,0,0,0,1,1,0,0
138,Kerry Carpenter*,25,DET,AL,118,459,418,57,116,17,2,20,64,6,0,32,115,0.278,0.34,0.471,0.811,120.0,197,5,8,0,1,3,"OF,DH",carpeke01,OF,0,0,0,0,1,1,0,0
139,Matt Carpenter*,37,SDP,NL,76,237,188,18,33,12,0,5,31,1,0,41,67,0.176,0.322,0.319,0.641,81.0,60,2,2,0,5,0,"DH,1B",carpema01,DH,1,0,0,0,1,0,0,0
140,Corbin Carroll*,22,ARI,NL,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,134.0,286,7,13,6,4,1,"OF,DH",carroco02,OF,0,0,0,0,1,1,0,0
141,Evan Carter*,20,TEX,AL,23,75,62,15,19,4,1,5,12,3,0,12,24,0.306,0.413,0.645,1.058,182.0,40,1,0,0,1,1,OF,carteev01,OF,0,0,0,0,0,1,0,0
142,Curt Casali,34,CIN,NL,40,96,80,8,14,2,0,0,6,0,0,11,23,0.175,0.29,0.2,0.49,36.0,16,1,2,3,0,0,"C,1B,3B",casalcu01,C,1,0,1,1,0,0,0,0
143,Triston Casas*,23,BOS,AL,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129.0,210,7,1,0,2,2,"1B,DH",casastr01,1B,1,0,0,0,1,0,0,0
144,Nick Castellanos,31,PHI,NL,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112.0,298,17,3,0,6,0,"OF,DH",casteni01,OF,0,0,0,0,1,1,0,0
145,Diego Castillo,25,ARI,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,,castidi02,/,0,0,0,0,0,0,0,0
146,Harold Castro*,29,COL,NL,99,270,258,24,65,13,0,1,31,1,0,9,66,0.252,0.275,0.314,0.589,52.0,81,5,0,1,2,0,"2B,OF,SS,DH,3B,SP",castrha01,2B,0,1,1,0,1,1,1,1
147,Miguel Castro,28,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,castrmi01,SP,0,0,0,0,0,0,1,0
148,Rodolfo Castro#,24,TOT,NL,92,256,227,21,48,7,0,6,24,1,4,23,74,0.211,0.297,0.322,0.618,70.0,73,4,5,0,1,1,"2B,SS,3B,DH",castrro01,2B,0,1,1,0,1,0,0,1
149,Rodolfo Castro#,24,PIT,NL,78,224,197,19,45,7,0,6,22,1,4,21,62,0.228,0.317,0.355,0.672,84.0,70,4,5,0,1,1,"2B,SS,3B,DH",castrro01,2B,0,1,1,0,1,0,0,1
150,Rodolfo Castro#,24,PHI,NL,14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-27.0,3,0,0,0,0,0,"3B,2B,DH",castrro01,/,0,1,1,0,1,0,0,0
151,Willi Castro#,26,MIN,AL,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,106.0,147,5,12,2,3,1,"OF,3B,2B,SS,DH,SP",castrwi01,OF,0,1,1,0,1,1,1,1
