Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Name-additional,PrimaryPos,1B,Pos_2B,Pos_3B,C,DH,OF,SP,SS
856,Jared Walsh*,29,LAA,AL,39,116,104,10,13,4,0,4,11,0,0,11,45,0.125,0.216,0.279,0.494,33.0,29,1,1,0,0,0,"1B,OF,DH",walshja01,1B,1,0,0,0,1,1,0,0
857,Taylor Ward,29,LAA,AL,97,409,356,60,90,18,0,14,47,4,2,39,80,0.253,0.335,0.421,0.756,105.0,150,9,8,0,6,0,"OF,1B",wardta01,OF,1,0,0,0,0,1,0,0
858,Drew Waters#,24,KCR,AL,98,337,302,40,69,11,5,8,32,16,5,27,107,0.228,0.3,0.377,0.677,85.0,114,4,5,0,3,0,"OF,DH",waterdr01,OF,0,0,0,0,1,1,0,0
859,Austin Wells*,23,NYY,AL,19,75,70,8,16,6,0,4,13,0,0,3,14,0.229,0.257,0.486,0.742,97.0,34,3,0,0,1,0,C,wellsau01,C,0,0,0,1,0,0,0,0
860,Joey Wendle*,33,MIA,NL,112,318,297,33,63,16,3,2,20,7,1,13,67,0.212,0.248,0.306,0.554,50.0,91,8,2,3,3,0,SS,wendljo01,SS,0,0,0,0,0,0,0,1
861,Hayden Wesneski,25,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,wesneha01,SP,0,0,0,0,0,0,1,0
862,Jordan Westburg,24,BAL,AL,68,228,208,26,54,17,2,3,23,4,1,16,56,0.26,0.311,0.404,0.715,100.0,84,3,1,0,3,0,"2B,3B,DH",westbjo01,2B,0,1,1,0,1,0,0,0
863,Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-11.0,1,0,1,0,0,0,OF,whiteel04,/,0,0,0,0,0,1,0,0
864,Garrett Whitlock,27,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,whitlga01,SP,0,0,0,0,0,0,1,0
865,Joey Wiemer,24,MIL,NL,132,410,367,48,75,19,0,13,42,11,4,36,116,0.204,0.283,0.362,0.645,76.0,133,4,5,0,2,0,OF,wiemejo01,OF,0,0,0,0,0,1,0,0
866,Alika Williams,24,PIT,NL,46,112,101,7,20,5,0,0,6,0,0,9,35,0.198,0.27,0.248,0.518,44.0,25,2,1,1,0,0,SS,willial04,SS,0,0,0,0,0,0,0,1
867,Luke Williams,26,TOT,NL,11,19,19,1,1,0,0,0,0,4,0,0,7,0.053,0.053,0.053,0.105,-71.0,1,0,0,0,0,0,"SS,3B,1B,DH,OF,SP",willilu01,/,1,0,1,0,1,1,1,1
868,Luke Williams,26,LAD,NL,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46.0,1,0,0,0,0,0,"SS,SP",willilu01,/,0,0,0,0,0,0,1,1
869,Luke Williams,26,ATL,NL,7,9,9,1,0,0,0,0,0,3,0,0,4,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,"3B,1B,DH,OF",willilu01,/,1,0,1,0,1,1,0,0
870,Weston Wilson,28,PHI,NL,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.5,0.5,1.0,177.0,8,0,0,0,0,0,"OF,1B,2B,3B",wilsowe01,/,1,1,1,0,0,1,0,0
871,Jesse Winker*,29,MIL,NL,61,197,166,16,33,5,0,1,23,0,0,26,51,0.199,0.32,0.247,0.567,60.0,41,0,4,0,1,0,"DH,OF",winkeje01,DH,0,0,0,0,1,1,0,0
872,Masyn Winn,21,STL,NL,37,137,122,8,21,2,0,2,12,2,1,10,26,0.172,0.23,0.238,0.467,29.0,29,1,0,2,3,0,SS,winnma01,SS,0,0,0,0,0,0,0,1
873,Patrick Wisdom,31,CHC,NL,97,302,268,43,55,8,1,23,46,4,2,30,111,0.205,0.289,0.5,0.789,107.0,134,4,2,1,1,0,"3B,1B,DH,OF,2B",wisdopa01,3B,1,1,1,0,1,1,0,0
874,Brett Wisely*,24,SFG,NL,51,131,120,10,21,5,0,2,8,2,1,9,40,0.175,0.231,0.267,0.497,38.0,32,2,0,1,1,0,"2B,OF,SP,SS",wiselbr01,2B,0,1,0,0,0,1,1,1
875,Bobby Witt,23,KCR,AL,158,694,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.813,120.0,317,11,4,1,8,1,"SS,DH",wittbo02,SS,0,0,0,0,1,0,0,1
876,Nick Wittgren,32,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,wittgni01,SP,0,0,0,0,0,0,1,0
877,Connor Wong,27,BOS,AL,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80.0,143,4,6,3,1,0,"C,2B,DH",wongco01,C,0,1,0,1,1,0,0,0
878,Kolten Wong*,32,TOT,MLB,87,250,224,25,41,6,0,4,27,3,2,18,53,0.183,0.256,0.263,0.519,47.0,59,1,5,0,3,0,"2B,DH",wongko01,2B,0,1,0,0,1,0,0,0
879,Kolten Wong*,32,SEA,AL,67,216,194,21,32,6,0,2,19,1,1,16,46,0.165,0.241,0.227,0.468,34.0,44,0,4,0,2,0,2B,wongko01,2B,0,1,0,0,0,0,0,0
880,Kolten Wong*,32,LAD,NL,20,34,30,4,9,0,0,2,8,2,1,2,7,0.3,0.353,0.5,0.853,127.0,15,1,1,0,1,0,"2B,DH",wongko01,H,0,1,0,0,1,0,0,0
881,Austin Wynns,32,TOT,NL,51,145,130,11,27,6,0,1,10,1,0,9,39,0.208,0.268,0.277,0.545,42.0,36,4,2,3,1,0,C,wynnsau01,C,0,0,0,1,0,0,0,0
882,Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,C,wynnsau01,/,0,0,0,1,0,0,0,0
883,Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,42.0,3,0,0,0,0,0,C,wynnsau01,/,0,0,0,1,0,0,0,0
884,Austin Wynns,32,COL,NL,45,131,117,11,25,5,0,1,8,1,0,8,32,0.214,0.273,0.282,0.555,45.0,33,4,2,3,1,0,C,wynnsau01,C,0,0,0,1,0,0,0,0
885,Ryan Yarbrough,31,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,yarbrry01,SP,0,0,0,0,0,0,1,0
886,Ryan Yarbrough,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,yarbrry01,SP,0,0,0,0,0,0,1,0
887,Mike Yastrzemski*,32,SFG,NL,106,381,330,54,77,23,1,15,43,2,2,45,99,0.233,0.33,0.445,0.775,113.0,147,5,3,2,1,3,"OF,DH",yastrmi01,OF,0,0,0,0,1,1,0,0
888,Christian Yelich*,31,MIL,NL,144,632,550,106,153,34,1,19,76,28,3,78,140,0.278,0.37,0.447,0.818,124.0,246,15,3,0,1,7,"OF,DH",yelicch01,OF,0,0,0,0,1,1,0,0
889,Juan Yepez,25,STL,NL,28,65,60,5,11,1,0,2,2,0,1,4,20,0.183,0.246,0.3,0.546,49.0,18,0,1,0,0,0,"DH,OF",yepezju01,DH,0,0,0,0,1,1,0,0
890,Masataka Yoshida*,29,BOS,AL,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109.0,239,20,7,0,2,0,"OF,DH",yoshima02,OF,0,0,0,0,1,1,0,0
891,Alex Young*,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,youngal01,SP,0,0,0,0,0,0,1,0
892,Jacob Young,23,WSN,NL,33,121,107,9,27,7,1,0,12,13,0,10,22,0.252,0.322,0.336,0.658,84.0,36,2,1,3,0,0,"OF,DH",youngja03,OF,0,0,0,0,1,1,0,0
893,Jared Young*,27,CHC,NL,16,47,43,8,8,0,3,2,8,2,0,3,13,0.186,0.255,0.465,0.72,88.0,20,1,1,0,0,0,"1B,DH",youngja02,1B,1,0,0,0,1,0,0,0
894,Seby Zavala,29,TOT,MLB,73,193,175,17,30,4,0,7,18,1,0,12,70,0.171,0.23,0.314,0.545,47.0,55,4,2,2,2,0,"C,SP",zavalse01,C,0,0,0,1,0,0,1,0
895,Seby Zavala,29,CHW,AL,66,176,161,15,25,3,0,7,16,1,0,10,68,0.155,0.207,0.304,0.511,37.0,49,4,1,2,2,0,C,zavalse01,C,0,0,0,1,0,0,0,0
896,Seby Zavala,29,ARI,NL,7,17,14,2,5,1,0,0,2,0,0,2,2,0.357,0.471,0.429,0.899,150.0,6,0,1,0,0,0,"C,SP",zavalse01,/,0,0,0,1,0,0,1,0
897,Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,62.0,38,3,1,0,0,0,C,zuninmi01,C,0,0,0,1,0,0,0,0
